Skill,Count,Category
Windows Mobile,2,Frameworks / Libraries
Windows PowerShell,2,Languages
Wiz,2,Cloud & DevOps
Workday,2,Other
Workflow Automation,2,Languages
Wwise,2,Frameworks / Libraries
X-Ray,2,Other
XGBoost,2,AI/ML
XRP Ledger,2,Other
Xanadu PennyLane,2,Cloud & DevOps
Xilinx,2,Cloud & DevOps
YOLO,2,AI/ML
Zeplin,2,Other
Zero Trust,2,Cloud & DevOps
Zero-shot Learning,2,AI/ML
Zigbee,2,Cloud & DevOps
Zoho Deluge,2,Other
Zustand,2,Frameworks / Libraries
boto3,2,Languages
cGMP,2,Other
cal.com,2,Other
dltHub,2,Databases
ggplot2,2,Other
gmake,2,Other
pgvector,2,Databases
spaCy,2,AI/ML
statsmodels,2,Databases
tidyverse,2,Other
uDeploy,2,Cloud & DevOps
vLLM,2,AI/ML
x86/64,2,Cloud & DevOps
.NET 8,1,Languages
.NET Xaml,1,Languages
10 Gigabit Ethernet,1,Cloud & DevOps
21 CFR Part 11,1,Other
21 CFR Part 820,1,Other
2D Visualization,1,Other
2D/3D Geometry Representation Learning,1,Other
3 Lines of Defense Model,1,Other
3D Graphics API,1,Frameworks / Libraries
3D Math,1,Other
3D Point Cloud Rendering,1,Cloud & DevOps
3D Sensing,1,Cloud & DevOps
3D Slicer,1,Other
3D Vision,1,AI/ML
3DEXPERIENCE,1,Other
4G,1,Cloud & DevOps
5G NR,1,Cloud & DevOps
6-DoF Pose Estimation,1,Cloud & DevOps
6G,1,Cloud & DevOps
7250 Interconnect Router,1,Cloud & DevOps
7330 SXR,1,Cloud & DevOps
7750 Service Router,1,Cloud & DevOps
@Risk,1,Other
AAA,1,Cloud & DevOps
ABB,1,Cloud & DevOps
ACH,1,Other
ACL,1,Cloud & DevOps
ADQL,1,Other
AI Code Assistant,1,AI/ML
AI Debuggers,1,AI/ML
AI Model Fine-tuning,1,AI/ML
AI Orchestration,1,AI/ML
AI Pair Programming,1,Other
AI Platform,1,AI/ML
AI Services,1,AI/ML
AI agentic frameworks,1,AI/ML
AI-900,1,AI/ML
AI-Assisted Development Tools,1,AI/ML
AI-assisted coding tools,1,AI/ML
AI-assisted development workflows,1,AI/ML
AIX,1,Cloud & DevOps
ALM,1,Other
ALSA,1,Cloud & DevOps
AMD,1,Cloud & DevOps
AMPL,1,Other
ANYsec,1,Cloud & DevOps
AOSP,1,Frameworks / Libraries
API Gateway,1,Frameworks / Libraries
API Programming,1,Frameworks / Libraries
API Security,1,Frameworks / Libraries
AR/VR,1,Frameworks / Libraries
AR/VR Development,1,Frameworks / Libraries
ARAP,1,Other
ARINC 429,1,Cloud & DevOps
ARM Assembly,1,Languages
ARM Microcontroller,1,Cloud & DevOps
ARM processors,1,Cloud & DevOps
ARP,1,Cloud & DevOps
ARP-4754,1,Cloud & DevOps
ARP-4761,1,Other
ASIC Integration,1,Cloud & DevOps
ASIC Layout,1,Cloud & DevOps
ASME Y14,1,Cloud & DevOps
ASP.NET Core MVC,1,Frameworks / Libraries
ASPX,1,Frameworks / Libraries
ATAC-seq,1,Other
ATE,1,Cloud & DevOps
ATPG,1,Cloud & DevOps
AUTOSAR,1,Cloud & DevOps
AUTOSAR Adaptive Platform,1,Cloud & DevOps
AVEVA,1,Other
AVEVA PI,1,Other
AVEVA PI System,1,Other
AVRO,1,Frameworks / Libraries
AWS API Gateway,1,Frameworks / Libraries
AWS Batch,1,Cloud & DevOps
AWS CLI,1,Languages
AWS Cloud Development Kit (CDK),1,Cloud & DevOps
AWS CloudFormation,1,Cloud & DevOps
AWS CodePipeline,1,Cloud & DevOps
AWS Cognito,1,Cloud & DevOps
AWS EMR,1,Cloud & DevOps
AWS EventBridge,1,Cloud & DevOps
AWS Q,1,Cloud & DevOps
AWS Redshift,1,Cloud & DevOps
AWS SQS,1,Frameworks / Libraries
AZ-900,1,Cloud & DevOps
Accelerometer,1,Cloud & DevOps
Accelerometers,1,Cloud & DevOps
Access Management,1,Cloud & DevOps
Access Point,1,Cloud & DevOps
Accessibility Review,1,Frameworks / Libraries
Accounting,1,Other
Active Directory Certificate Services (ADCS),1,Cloud & DevOps
Active Learning,1,AI/ML
ActiveMQ,1,Frameworks / Libraries
AdWords,1,Databases
Adaptive Difficulty Balancing,1,Frameworks / Libraries
Adaptive SoC,1,Cloud & DevOps
Adaptive SoCs,1,Cloud & DevOps
Addressables,1,Frameworks / Libraries
Adobe InDesign,1,Other
Adobe Premiere,1,Other
Adobe Suite,1,Other
Aeron,1,Other
Aerospike,1,Databases
After Effects,1,Other
Agent Development,1,AI/ML
Agentforce,1,Other
Agentic Frameworks,1,AI/ML
Agentic Protocols,1,AI/ML
Agentic Systems,1,AI/ML
Agentic Workflows,1,AI/ML
Agents,1,AI/ML
Agile Kanban,1,Other
Agile Project Management,1,Other
AgilePlace,1,Other
AgilePoint,1,Other
Air,1,Other
Airbus ABD,1,Cloud & DevOps
Airtable,1,Other
Akamai,1,Cloud & DevOps
Alarm Lists,1,Cloud & DevOps
AlertOps,1,Cloud & DevOps
Algorithm Development,1,Other
Algorithmic Foundations of Optimization,1,Other
Algorithmics,1,Other
Alias,1,Other
Allegro,1,Cloud & DevOps
Allegro APD,1,Cloud & DevOps
Allen-Bradley PLCs,1,Cloud & DevOps
Allure,1,Testing
Altium,1,Cloud & DevOps
Amazon API Gateway,1,Frameworks / Libraries
Amazon Aurora,1,Databases
Amazon Bedrock,1,Cloud & DevOps
Amazon QuickSight,1,Cloud & DevOps
Amazon SES,1,Cloud & DevOps
Amplify,1,Cloud & DevOps
Analog Board Design,1,Cloud & DevOps
Analog Hardware Design,1,Cloud & DevOps
Analog Mixed-Signal,1,Cloud & DevOps
Analytical Modeling,1,Other
Analytical Pipelines,1,Databases
Analytics Interpretation,1,Databases
Analytics Platforms,1,Databases
Android Audio System,1,Frameworks / Libraries
Android Multimedia Framework,1,Frameworks / Libraries
AndroidX,1,Frameworks / Libraries
Ant Design,1,Frameworks / Libraries
Anthropic,1,AI/ML
Anthropic API,1,AI/ML
Anthropic Claude,1,AI/ML
Anthropic Claude Code,1,AI/ML
Anti-malware,1,Cloud & DevOps
Antivirus Software,1,Cloud & DevOps
Apache Beam,1,Databases
Apache Camel,1,Databases
Apache Flume,1,Databases
Apache Hop,1,Databases
Apache ZooKeeper,1,Databases
Apex,1,Other
Apollo Android,1,Other
App Builder,1,Other
AppSync,1,Cloud & DevOps
Appian,1,Other
Apple,1,Frameworks / Libraries
Apple Notarization,1,Frameworks / Libraries
Application Administration,1,Cloud & DevOps
Application Architecture,1,Other
Application Development,1,Other
Application Logging,1,Cloud & DevOps
Application Monitoring,1,Cloud & DevOps
Application Security Testing,1,Cloud & DevOps
Application Servers,1,Frameworks / Libraries
Applications Architecture,1,Other
Applied AI,1,AI/ML
Applied Product Research,1,Other
Applitools,1,Testing
Apptio,1,Other
Aqua Security,1,Cloud & DevOps
ArcGIS Enterprise,1,Other
ArcGIS Field Maps,1,Other
ArcGIS Pro,1,Other
ArcPy,1,Other
Architectural Reviews,1,Other
ArduPilot,1,Cloud & DevOps
Arena PLM,1,Other
Argo,1,Other
Argo Workflow,1,Other
Arista EOS,1,Cloud & DevOps
Articulate 360,1,Other
Ascend,1,Other
AspenTech Inmation,1,Other
Aspentech IP.21,1,Other
Assemblers,1,Other
AssetBundles,1,Other
Atlas Platform,1,Other
Atlassian Tools,1,Other
Atomic,1,Other
Attribution,1,Databases
Attrition Modeling,1,Databases
Audio,1,Cloud & DevOps
Audio Codecs,1,Cloud & DevOps
Audio Generation,1,AI/ML
Audio Processing,1,Cloud & DevOps
Audio Protocol,1,Cloud & DevOps
Audiovisual Equipment,1,Cloud & DevOps
Audit,1,Other
Augmentation,1,AI/ML
Aura Components,1,Other
Aurora,1,Databases
Aurora PostgreSQL,1,Databases
Auth0 Platform,1,Cloud & DevOps
Authentication Protocols,1,Cloud & DevOps
Authentication/Authorization,1,Cloud & DevOps
Authorization Protocols,1,Cloud & DevOps
AutoCAD Electrical,1,Other
AutoCAD LT,1,Other
Autodesk,1,Cloud & DevOps
Autodesk Inventor,1,Cloud & DevOps
Autogen Studio,1,AI/ML
Automate,1,Other
Automated Deployment,1,Cloud & DevOps
Automated Quality Gates,1,Testing
Automated Reasoning,1,AI/ML
Automated Tests,1,Testing
Automated Unit Testing,1,Testing
Automated Unit Testing Frameworks,1,Testing
Automated software testing,1,Testing
Automation APIs,1,Other
Automation Anywhere,1,Languages
Automation Platforms,1,Other
Automation Test Framework,1,Testing
Automotive Software,1,Cloud & DevOps
Autonomous Systems,1,Cloud & DevOps
Autonomous Vehicles,1,Cloud & DevOps
Avigilon Control Center,1,Cloud & DevOps
Awk,1,Languages
Azure AD,1,Other
Azure AI Document Intelligence,1,Cloud & DevOps
Azure AI Foundry,1,Cloud & DevOps
Azure AI Studio,1,Cloud & DevOps
Azure AI Vision,1,Cloud & DevOps
Azure Active Directory,1,Other
Azure App Service,1,Cloud & DevOps
Azure Application Insights,1,Cloud & DevOps
Azure CLI,1,Languages
Azure Cognitive Services,1,Cloud & DevOps
Azure Data Pipelines,1,Cloud & DevOps
Azure DevOps Server,1,Cloud & DevOps
Azure Foundry,1,Cloud & DevOps
Azure Integration Services,1,Cloud & DevOps
Azure Maps,1,Cloud & DevOps
Azure Monitor,1,Cloud & DevOps
Azure Power Platform,1,Cloud & DevOps
Azure Storage,1,Cloud & DevOps
Azure Storage Insights,1,Cloud & DevOps
BACnet,1,Cloud & DevOps
BER Tester,1,Cloud & DevOps
BIM,1,Cloud & DevOps
BIST,1,Cloud & DevOps
BMC Remedy,1,Other
BPMN 2.0,1,Languages
Bandit,1,Cloud & DevOps
Bare Metal,1,Cloud & DevOps
Bash Scripting,1,Languages
Batch Data Processing,1,Databases
Batch File,1,Languages
Bayesian Inference,1,Other
Bayesian Machine Learning,1,AI/ML
Bayesian Statistics,1,Other
Bazel,1,Languages
BeagleBoard,1,Cloud & DevOps
BeagleBone Black,1,Cloud & DevOps
Beats,1,Other
BeautifulSoup,1,Languages
Beeline,1,Databases
Behat,1,Testing
Behavioral Analytics,1,Other
Bentley,1,Other
BiCMOS,1,Cloud & DevOps
Bias Mitigation,1,AI/ML
Bioconductor,1,Other
Biosensors,1,Cloud & DevOps
BitLocker,1,Cloud & DevOps
Blackduck,1,Cloud & DevOps
Blazor,1,Frameworks / Libraries
Bloomberg Terminal,1,Other
Bluebeam,1,Other
Blueprint,1,Other
Bluetooth Mesh,1,Cloud & DevOps
Board Design,1,Cloud & DevOps
Board-level Debug,1,Cloud & DevOps
Boeing D6,1,Other
Botpress,1,AI/ML
Bourne Shell,1,Languages
Brain-Computer Interface,1,AI/ML
Brain-Computer Interfaces,1,AI/ML
Budgeting,1,Other
Bug Tracking System,1,Testing
Buildbot,1,Cloud & DevOps
Building Automation,1,Cloud & DevOps
Building Information Modeling,1,Cloud & DevOps
Bundle Adjustment,1,Cloud & DevOps
Business Analytics,1,Databases
Business Automation,1,Languages
Business Continuity,1,Other
Business Data Cloud,1,Other
Business Design,1,Other
Business Intelligence (BI) Dashboard Design,1,Databases
Business Process Management,1,Other
Business Requirements Analysis,1,Other
Business Valuation,1,Other
C shell,1,Languages
C/C+,1,Languages
CA TDM,1,Other
CADC,1,Other
CANopen,1,Cloud & DevOps
CAPA,1,Other
CATIA,1,Cloud & DevOps
CCPA,1,Cloud & DevOps
CDK,1,Cloud & DevOps
CDMA,1,Cloud & DevOps
CDN,1,Cloud & DevOps
CDS,1,Other
CE,1,Other
CI Helpers,1,Other
CI/CD Pipelines,1,Cloud & DevOps
CIS,1,Cloud & DevOps
CIS Framework,1,Cloud & DevOps
CISM,1,Cloud & DevOps
CISSP,1,Cloud & DevOps
CIVA,1,Cloud & DevOps
CLR,1,Other
CMD,1,Languages
CMM Programming,1,Cloud & DevOps
CMOS,1,Cloud & DevOps
CMS,1,Other
CNN,1,AI/ML
CPPUnit,1,Testing
CPU Debugger,1,Cloud & DevOps
CPU Hardware Architectures,1,Other
CPU/GPU Performance Analysis,1,Other
CQRS,1,Other
CS Explorer,1,Other
CSS Frameworks,1,Frameworks / Libraries
CTF,1,Cloud & DevOps
CVS,1,Cloud & DevOps
CWE,1,Cloud & DevOps
CWL,1,Other
CYME,1,Cloud & DevOps
CYME TCC,1,Cloud & DevOps
Caching technologies,1,Databases
Caffe,1,AI/ML
Calibration,1,Cloud & DevOps
Calibrators,1,Other
Calibre,1,Cloud & DevOps
Cameo,1,Other
Canadian Medical Device Regulations,1,Other
Cannex,1,Other
Capacitor,1,Frameworks / Libraries
Capstone DataPARC,1,Other
Carbon Design System,1,Other
Case Management Systems,1,Other
CatBoost,1,AI/ML
Cause and Effects,1,Other
Cellular,1,Cloud & DevOps
Cellular Communication Simulators,1,Frameworks / Libraries
Cellular Connectivity,1,Frameworks / Libraries
Ceres Solver,1,Cloud & DevOps
ChIP-seq,1,Other
Chain of Custody,1,Other
Chain-of-Thought Prompting,1,AI/ML
Chakra UI,1,Frameworks / Libraries
Channel Simulator,1,Cloud & DevOps
Chaos Engineering,1,Cloud & DevOps
Charles River,1,Other
ChatGPT Codex,1,AI/ML
Chatter,1,Other
Chip Layout,1,Other
Chroma,1,Databases
Chromatin Accessibility,1,Frameworks / Libraries
Chrome,1,Frameworks / Libraries
Circana,1,Databases
Circuit Debugging,1,Cloud & DevOps
Circuit Design,1,Cloud & DevOps
Citavi,1,Other
Citrix,1,Other
CiviCRM,1,Other
Clarity PC,1,Other
Clarity PPM,1,Other
Classical Computer Vision,1,AI/ML
Classical Machine Learning,1,AI/ML
Claude Code Cursor,1,AI/ML
Claude Sonnet 4.5,1,AI/ML
Clean Code,1,Other
ClickHouse,1,Databases
ClickOnce,1,Other
Climatic Chamber,1,Cloud & DevOps
Clinical Data Management,1,Other
Closure,1,Languages
Cloud APIs,1,Cloud & DevOps
Cloud Build,1,Cloud & DevOps
Cloud Computing Architecture,1,Cloud & DevOps
Cloud Data Engineering,1,Databases
Cloud Dataflow,1,Databases
Cloud Datastore,1,Cloud & DevOps
Cloud Endpoints,1,Cloud & DevOps
Cloud Engineering,1,Cloud & DevOps
Cloud IAM,1,Cloud & DevOps
Cloud Pub/Sub,1,Cloud & DevOps
Cloud Run,1,Cloud & DevOps
Cloud SQL,1,Cloud & DevOps
Cloud Spanner,1,Databases
Cloud Technologies,1,Cloud & DevOps
CloudFront,1,Cloud & DevOps
CloudVision Appliance,1,Other
CloudVision Portal,1,Other
Cloudant,1,Other
Cobalt,1,Cloud & DevOps
Code Assistants,1,AI/ML
Code Deployment,1,Other
Code Management,1,Cloud & DevOps
Code Management Tools,1,Cloud & DevOps
Code Tracing,1,Other
Code pilot,1,Other
CodeIgniter,1,Frameworks / Libraries
Codecs,1,Other
Codespaces,1,Cloud & DevOps
Codex API,1,AI/ML
Coding Practices,1,Other
Cognitive Ergonomics,1,Other
Cohere,1,AI/ML
Combinatorial Algorithms,1,Other
ComitML,1,Other
Communication Technologies,1,Cloud & DevOps
Communication Theory,1,Cloud & DevOps
CompTIA A*,1,Other
CompTIA Network*,1,Cloud & DevOps
CompTIA Network+,1,Cloud & DevOps
CompTIA Security+,1,Cloud & DevOps
Compiler Design,1,Other
Complexity Theory,1,Other
Compliance Management,1,Cloud & DevOps
Compliance Testing,1,Testing
Component Libraries,1,Other
Component Selection,1,Other
Component-Driven Development,1,Other
Compose,1,Frameworks / Libraries
Composer,1,Other
Computational Biology,1,Other
Computational Geometry,1,Other
Computational Intelligence,1,AI/ML
Compute Engine,1,Cloud & DevOps
Computer Forensics,1,Cloud & DevOps
Computer Imaging,1,Other
Computer Modeling,1,Other
Computer Science,1,Other
Computer Security,1,Cloud & DevOps
Computer Systems,1,Other
Computer Vision Algorithms,1,AI/ML
Conan,1,Other
Concur,1,Other
Conda,1,Databases
Configuration Hardening,1,Cloud & DevOps
Confluent Kafka,1,Databases
Content Inspectors,1,Other
Content Management System,1,Other
Content Moderation,1,Other
Context Engineering,1,AI/ML
Continual Learning,1,AI/ML
Continuous Integration and Continuous Delivery,1,Cloud & DevOps
Continuous Monitoring,1,Cloud & DevOps
Contrastive Learning,1,AI/ML
Control Automation,1,Other
Control Systems Engineering,1,Cloud & DevOps
ControlNet,1,AI/ML
Controls,1,Other
Copilot Chat,1,Other
Copilot for Power BI,1,Databases
Copperleaf AIP,1,Other
Core Network,1,Cloud & DevOps
Core Web Vitals,1,Frameworks / Libraries
Corel Draw,1,Other
Coverity,1,Testing
Coverlet,1,Testing
Cross-Site Request Forgery (CSRF),1,Cloud & DevOps
Cross-Site Scripting (XSS),1,Cloud & DevOps
Cross-platform,1,Frameworks / Libraries
Crossplane,1,Cloud & DevOps
Cryptographic Algorithms,1,Other
Crystal Reports,1,Databases
Curser,1,Other
Customer Journey Mapping,1,Other
Cyber Investigations,1,Cloud & DevOps
Cyber Kill Chain,1,Cloud & DevOps
Cybersecurity principles,1,Cloud & DevOps
DAQ,1,Cloud & DevOps
DAST,1,Cloud & DevOps
DDR5,1,Cloud & DevOps
DFD,1,Other
DITA,1,Other
DMA,1,Cloud & DevOps
DNDAF,1,Other
DO-254,1,Other
DO-326A,1,Cloud & DevOps
DOORS NG,1,Other
DRM,1,Frameworks / Libraries
DTC,1,Other
DWARF,1,Other
Dagger,1,Frameworks / Libraries
Dagster,1,Databases
Dart,1,Languages
Dask,1,Databases
Data Acquisition Units,1,Cloud & DevOps
Data Analysis Tools,1,Databases
Data Annotation,1,Databases
Data Anonymization,1,Databases
Data Automation,1,Databases
Data Cataloguing,1,Databases
Data Center Operations,1,Cloud & DevOps
Data Cleansing,1,Databases
Data Cloud,1,Other
Data Collection,1,Databases
Data Communication Protocols,1,Other
Data Concurrency,1,Other
Data Documentation,1,Databases
Data Encryption,1,Cloud & DevOps
Data Enrichment,1,Databases
Data Ingestion,1,Databases
Data Labelling,1,Databases
Data Lifecycles,1,Databases
Data Logger,1,Cloud & DevOps
Data Logging,1,Cloud & DevOps
Data Loss Prevention,1,Cloud & DevOps
Data Manipulation,1,Other
Data Modelling,1,Databases
Data Normalization,1,Databases
Data Orchestration,1,Databases
Data Parsing,1,Other
Data Pipelining,1,Databases
Data Platforms,1,Databases
Data Preservation,1,Other
Data Privacy,1,Cloud & DevOps
Data Protection,1,Databases
Data Quality Assessment,1,Databases
Data Quality Assurance,1,Databases
Data Quality Management,1,Databases
Data Streaming,1,Databases
Data Visualization Tools,1,Databases
Data Warehouses,1,Databases
Data-as-a-Service,1,Databases
DataGrip,1,Other
DataOps,1,Cloud & DevOps
Database Administration,1,Databases
Database Development,1,Databases
Database Kernel Development,1,Databases
Database Queries,1,Databases
Database Schema Design,1,Databases
Database Scripting,1,Databases
Database Testing,1,Testing
Database methodologies,1,Databases
Databricks Platform,1,Databases
Datacenter Networks,1,Cloud & DevOps
Dataiku,1,Databases
Dataiku DSS,1,Databases
Datalayer Tracking,1,Other
Datameer,1,Databases
Dataset Creation,1,Other
Dataset Management,1,Other
Debuggers,1,Other
Declarative UI,1,Frameworks / Libraries
Deep Generative Models,1,AI/ML
Deep Learning Fine-tuning,1,AI/ML
Deep Neural Networks,1,AI/ML
Deep Q-Network,1,AI/ML
DeepLab,1,AI/ML
Deepseek,1,AI/ML
Defensive Coding,1,Cloud & DevOps
DejaGnu,1,Testing
Delphix,1,Other
Depth Estimation,1,AI/ML
Depth Sensing,1,Cloud & DevOps
Descriptive Statistics,1,Databases
Design Control,1,Other
Design Copilots,1,Other
Design Documentation,1,Other
Design Principles,1,Other
Design Techniques,1,Other
Design Verification,1,Cloud & DevOps
Design of Experiment (DoE),1,Other
Desktop Application Development,1,Languages
Desktop Simulators,1,Cloud & DevOps
Desktop Support,1,Other
DevExpress,1,Frameworks / Libraries
Deviation Management,1,Other
Differentiable Rendering,1,AI/ML
Dify,1,AI/ML
Digital Audio,1,Cloud & DevOps
Digital Board Design,1,Cloud & DevOps
Digital Design,1,Cloud & DevOps
Digital Design Verification,1,Cloud & DevOps
Digital Electronics,1,Cloud & DevOps
Digital Hardware Design,1,Cloud & DevOps
Digital Image Processing,1,Other
Digital Imaging,1,Cloud & DevOps
Digital Mail,1,Other
Digital Marketing,1,Databases
Digital Signal Processors (DSPs),1,Cloud & DevOps
Digital Video,1,Cloud & DevOps
Digital analytics,1,Databases
Dijkstra's Algorithm,1,Other
Display Systems,1,Cloud & DevOps
DisplayPort,1,Cloud & DevOps
Distributed Analysis,1,Databases
Distributed Control System,1,Cloud & DevOps
Distributed Energy Resources (DER) analysis,1,Cloud & DevOps
Distributed System Design,1,Other
Distribution protection schemes,1,Cloud & DevOps
Django REST Framework,1,Frameworks / Libraries
DoDAF,1,Other
Docker Hub,1,Cloud & DevOps
Documentation,1,Other
Domain Adaptation,1,AI/ML
Domain Registration,1,Cloud & DevOps
Domain-Driven Design,1,Other
Domain-Specific Language,1,Languages
Drift Detection,1,Databases
Drizzle ORM,1,Databases
Dropbox,1,Other
Dynamic Context Management,1,Other
Dynamic Testing,1,Testing
Dynamics 365,1,Other
E1,1,Other
EAS,1,Other
EC2,1,Cloud & DevOps
ECM,1,Other
ECMAScript 6,1,Languages
ECS,1,Cloud & DevOps
EDA Tools,1,Cloud & DevOps
EDGE,1,Cloud & DevOps
EDM,1,Other
EDR,1,Cloud & DevOps
EMX,1,Cloud & DevOps
EN50128,1,Cloud & DevOps
ETL Testing,1,Databases
ETL Tools,1,Databases
ETRM,1,Other
ETSI,1,Other
EU AI Act,1,AI/ML
Eagle,1,Cloud & DevOps
Early Stopping,1,Other
Editor Debuggers,1,Other
Editor Tooling,1,Other
EduClaud,1,AI/ML
Eigen,1,Other
ElastiCache,1,Databases
Elastic Beanstalk,1,Cloud & DevOps
Electric Spectrum Analyzer,1,Cloud & DevOps
Electrical Engineering,1,Cloud & DevOps
Electrical Schematics,1,Cloud & DevOps
Electrical Systems,1,Cloud & DevOps
Electromagnetism,1,Cloud & DevOps
Electromechanical Design,1,Cloud & DevOps
Electronic Assembly,1,Cloud & DevOps
Electronic Control Unit (ECU),1,Cloud & DevOps
Electronic Data Analysis,1,Databases
Electronic Hardware Development,1,Cloud & DevOps
Electronic Load,1,Cloud & DevOps
Electronic Loads,1,Other
Electronic Schematics,1,Cloud & DevOps
Electronic Schematics Reading,1,Cloud & DevOps
Electronics Manufacturing,1,Cloud & DevOps
Element Plus,1,Frameworks / Libraries
Emacs,1,Other
Email,1,Cloud & DevOps
Email Security,1,Cloud & DevOps
Embedded Android,1,Cloud & DevOps
Embedded C,1,Cloud & DevOps
Embedded Debugging Tools,1,Cloud & DevOps
Embedded Development Tools,1,Cloud & DevOps
Embedded Devices,1,Cloud & DevOps
Embedded Firmware Development,1,Cloud & DevOps
Embedded Systems Development,1,Cloud & DevOps
Embedded Systems Security,1,Cloud & DevOps
Embedded Toolchains,1,Cloud & DevOps
Emerson DeltaV,1,Cloud & DevOps
Emotion,1,AI/ML
Empirical Research,1,Other
Emulation,1,Other
Encoder-Decoder,1,AI/ML
End-to-End Automation,1,Testing
Endpoint Protection,1,Cloud & DevOps
Endpoint Security,1,Cloud & DevOps
Enhanced Input,1,Other
Enterprise Architecture,1,Other
Enterprise Resource Planning,1,Other
Entity Framework Core,1,Databases
Entity Relationship Diagrams,1,Other
Epigenomics,1,Other
Error Proofing,1,Other
Espresso,1,Frameworks / Libraries
Esri ArcGIS Pro,1,Other
Esri Enterprise,1,Other
EtherCAT,1,Cloud & DevOps
Ethical Hacking,1,Cloud & DevOps
Euroclear,1,Other
Excel Macros,1,Other
Excel VBA,1,Other
Exchange,1,Other
Expect,1,Testing
Experiment Design,1,Other
Experiment Tracing,1,AI/ML
Experiment Tracking Frameworks,1,AI/ML
Exploit Development,1,Cloud & DevOps
Expo,1,Frameworks / Libraries
Exponential Smoothing,1,Databases
FEA,1,Other
FEAF,1,Other
FHIR,1,Other
FINCAD,1,Other
FITS,1,Other
FIX Protocol,1,Other
FME AI Service,1,Other
FME Account,1,Other
FME Flow Hosted,1,Other
FME Hub,1,Other
FMEA,1,Other
FP5,1,Other
FP8,1,Other
FPGAs,1,Cloud & DevOps
FSL,1,Other
FTA,1,Other
Facebook,1,Other
FactoryTalk Optix,1,Cloud & DevOps
Failure Mode and Effects Analysis,1,Other
Fault calculations,1,Cloud & DevOps
Feature Store,1,AI/ML
Fiber Fusion Splicer,1,Cloud & DevOps
Fiber Optics,1,Cloud & DevOps
Field II,1,Other
FigJam AI,1,Other
Figma Make,1,Other
FileShare,1,Cloud & DevOps
Finout,1,Other
Firefox,1,Frameworks / Libraries
Firestore,1,Databases
Firmware Security,1,Cloud & DevOps
Firmware Troubleshooting,1,Cloud & DevOps
Fisheye,1,Other
Flame,1,Other
Flat File Storage,1,Databases
Flexbox,1,Frameworks / Libraries
Flow Designer,1,Other
Flowise,1,AI/ML
Folium,1,Databases
Forensic Analysis,1,Cloud & DevOps
ForgeRock,1,Cloud & DevOps
Formal Specification,1,Other
Formik,1,Frameworks / Libraries
FpML,1,Other
Frameworks,1,Other
FreeSync,1,Other
Freescale,1,Cloud & DevOps
Frontend,1,Frameworks / Libraries
Frostbite,1,Frameworks / Libraries
Full Matrix Capture (FMC),1,Cloud & DevOps
Function Block Diagrams,1,Other
Function Calling,1,Other
Functional Verification,1,Cloud & DevOps
FundServ,1,Other
Fusion 360,1,Other
Fusion Algorithms,1,Cloud & DevOps
G&W,1,Cloud & DevOps
GA4,1,Frameworks / Libraries
GA4GH,1,Other
GAMS,1,Other
GCP Cloud Functions,1,Other
GDPR,1,Cloud & DevOps
GLMs,1,Other
GMock,1,Other
GNN,1,AI/ML
GNSS/INS,1,Cloud & DevOps
GPP,1,Other
GPRS,1,Cloud & DevOps
GPT-5,1,AI/ML
GPU Architecture,1,AI/ML
GPU Drivers,1,Cloud & DevOps
GPU Tools,1,Cloud & DevOps
GR00T,1,AI/ML
GStreamer,1,Cloud & DevOps
GTSAM,1,Cloud & DevOps
GUI Programming,1,Other
GUI Testing,1,Testing
GV AMPP,1,Cloud & DevOps
Game Console,1,Frameworks / Libraries
Game Design,1,Frameworks / Libraries
Game Engines,1,Frameworks / Libraries
Gameplay Ability System,1,Frameworks / Libraries
Gameplay Debugger,1,Frameworks / Libraries
Gantt charts,1,Other
Gatsby,1,Frameworks / Libraries
Gauge Repeatability and Reproducibility (GRR),1,Other
Gauntlet,1,AI/ML
Gemini 2.5 Flash Image,1,AI/ML
GenICam,1,Other
General-Purpose Processors (GPPs),1,Other
Generative AI IDE,1,AI/ML
Generative Image Models,1,AI/ML
Generative Models,1,AI/ML
Geographical Information Systems,1,Other
Geometric Dimensioning and Tolerancing (GD&T),1,Cloud & DevOps
Geometry Processing,1,Other
Geospatial,1,Other
Geospatial Analysis,1,Other
Geospatial Data,1,Other
Geotab Platform,1,Other
Gesture Recognition,1,Other
GitHub Pages,1,Cloud & DevOps
GitHub Runners,1,Cloud & DevOps
GitLab Pipelines,1,Cloud & DevOps
GitLeaks,1,Cloud & DevOps
Glue,1,Cloud & DevOps
Gmail,1,Other
Good Clinical Practice,1,Other
Google AI,1,AI/ML
Google Agent Development Kit,1,AI/ML
Google Cloud ML,1,Cloud & DevOps
Google Cloud Storage,1,Cloud & DevOps
Google Contact Center AI,1,AI/ML
Google Data Studio,1,Other
Google DeepMind,1,AI/ML
Google G-Suite,1,Other
Google LiveAPI,1,AI/ML
Google Maps API,1,Frameworks / Libraries
Google Maps Platform,1,Frameworks / Libraries
Google Meet,1,Other
Google Pub/Sub,1,Cloud & DevOps
Google Research,1,AI/ML
Google Search Console,1,Databases
Google SketchUp,1,Other
Google Tensor,1,AI/ML
Governance,1,Other
Gradescope,1,Other
Graph Data Analysis,1,Databases
GraphQL API,1,Frameworks / Libraries
Graphene,1,Cloud & DevOps
Graphs and Optimization,1,Other
Gray Box Testing,1,Testing
